,Risultato medio,Std,n_estimators,min_samples_split,min_samples_leaf,criterion
1,0.911,0.0136,300.0,3.0,9.0,squared_error
2,0.9109,0.0136,200.0,10.0,9.0,squared_error
3,0.9105,0.0151,400.0,19.0,3.0,squared_error
4,0.9105,0.0137,200.0,6.0,10.0,squared_error
5,0.9095,0.0141,200.0,20.0,12.0,squared_error
6,0.9091,0.0166,300.0,8.0,2.0,squared_error
7,0.9089,0.0142,300.0,4.0,13.0,squared_error
8,0.9086,0.0143,200.0,20.0,14.0,squared_error
9,0.9063,0.0147,200.0,10.0,18.0,squared_error
10,0.9059,0.0148,200.0,15.0,19.0,squared_error
11,0.9049,0.0149,300.0,3.0,9.0,absolute_error
12,0.9032,0.017,400.0,8.0,11.0,absolute_error
13,0.9024,0.0174,100.0,6.0,14.0,absolute_error
14,0.9023,0.0177,400.0,15.0,16.0,absolute_error
15,0.9016,0.0184,200.0,7.0,17.0,absolute_error
16,0.8779,0.0185,1.0,15.0,14.0,squared_error
17,0.8771,0.018,1.0,20.0,8.0,absolute_error
18,0.8759,0.0209,1.0,18.0,19.0,absolute_error
19,0.8594,0.0189,1.0,15.0,5.0,squared_error
20,0.8592,0.0209,1.0,5.0,6.0,squared_error
